Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_294033,A/mallard_duck/Ohio/16OS0843/2016,EPI1154515,,
EPI_ISL_294044,A/mallard_duck/Ohio/16OS0862/2016,EPI1154271,,
EPI_ISL_3914914,A/Gallus_gallus/Belgium/5228_0002/2019_(H3N1),EPI1888603,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_326808,A/swine/Nebraska/A02254616/2018,EPI1297361,,
EPI_ISL_326811,A/swine/Nebraska/A02254605/2018,EPI1297367,,
EPI_ISL_326820,A/swine/Iowa/A02254363/2018,EPI1297385,,
EPI_ISL_277668,A/swine/Chachoengsao/NIAH102891-023/2016,EPI1059222,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_277669,A/swine/Chachoengsao/NIAH102891-100/2016,EPI1059230,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_326822,A/swine/Iowa/A02254778/2018,EPI1297389,,
EPI_ISL_294054,A/gadwall_duck/Wisconsin/16OS4758/2016,EPI1154691,,
